                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.74379,                0.52205,                 1.0079,                0.83266,                 0.7037,                0.76108,                0.45871,                 1.5512,                 1.0117,                 1.5795,              0.0002774,              0.0002774,              0.0002774
                     90,                0.75036,                0.51277,                  1.017,                0.81693,                 0.7037,                0.76614,                0.44589,                 1.5527,                 1.0321,                 1.5791,              0.0002576,              0.0002576,              0.0002576
                     91,                0.70335,                0.45694,                0.98165,                0.83629,                0.68519,                0.77386,                0.44915,                 1.5256,                 1.0833,                 1.5408,              0.0002378,              0.0002378,              0.0002378
                     92,                0.67515,                0.41543,                0.96614,                0.77488,                0.76497,                0.80472,                0.46879,                 1.5216,                 1.0132,                 1.5335,               0.000218,               0.000218,               0.000218
                     93,                0.66369,                0.41176,                0.99976,                0.83457,                0.74747,                0.77371,                 0.4574,                 1.5817,                 1.0627,                 1.5709,              0.0001982,              0.0001982,              0.0001982
                     94,                0.65003,                 0.4168,                0.95794,                0.90303,                0.72222,                 0.7679,                 0.4461,                 1.6077,                 1.0294,                 1.5851,              0.0001784,              0.0001784,              0.0001784
                     95,                0.63773,                0.39379,                0.95298,                0.86305,                0.70031,                0.75284,                0.46344,                 1.5632,                 1.0488,                 1.5592,              0.0001586,              0.0001586,              0.0001586
                     96,                0.62895,                0.38588,                0.95929,                0.86148,                0.69109,                0.76256,                0.46993,                 1.5173,                 1.1176,                 1.5319,              0.0001388,              0.0001388,              0.0001388
                     97,                0.62681,                0.38742,                0.94902,                0.86072,                0.68665,                0.77178,                0.47047,                 1.5378,                 1.1017,                 1.5661,               0.000119,               0.000119,               0.000119
                     98,                0.58838,                0.36879,                 0.9332,                0.88267,                0.69668,                0.77262,                0.46668,                 1.5298,                 1.0637,                 1.5519,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.58184,                0.37568,                0.93121,                0.88501,                0.66667,                0.76737,                0.46371,                 1.5373,                 1.0516,                 1.5509,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.58804,                0.37463,                0.94032,                0.89414,                0.68519,                0.76193,                0.46148,                 1.5556,                 1.0559,                  1.566,               5.96e-05,               5.96e-05,               5.96e-05
